"Offense","n","Year","Week"
"Murder","3",2026,25
"Rape","49",2026,25
"Robbery","275",2026,25
"Fel. Assault","617",2026,25
"Burglary","203",2026,25
"Gr. Larceny","912",2026,25
"G.L.A.","249",2026,25
"Petit Larceny","2141",2026,25
"Misd. Assault","1046",2026,25
