"Offense","n","Year","Week"
"Murder","7",2025,15
"Rape","38",2025,15
"Robbery","274",2025,15
"Fel. Assault","565",2025,15
"Burglary","209",2025,15
"Gr. Larceny","865",2025,15
"G.L.A.","285",2025,15
"Petit Larceny","1928",2025,15
"Misd. Assault","843",2025,15
