"Offense","n","Year","Week"
"Murder","5",2026,20
"Rape","43",2026,20
"Robbery","244",2026,20
"Fel. Assault","600",2026,20
"Burglary","192",2026,20
"Gr. Larceny","824",2026,20
"G.L.A.","244",2026,20
"Petit Larceny","1897",2026,20
"Misd. Assault","1001",2026,20
