"Offense","n","Year","Week"
"Murder","8",2025,28
"Rape","53",2025,28
"Robbery","335",2025,28
"Fel. Assault","539",2025,28
"Burglary","196",2025,28
"Gr. Larceny","924",2025,28
"G.L.A.","297",2025,28
"Petit Larceny","2048",2025,28
"Misd. Assault","959",2025,28
