"Offense","n","Year","Week"
"Murder","3",2025,26
"Rape","46",2025,26
"Robbery","323",2025,26
"Fel. Assault","696",2025,26
"Burglary","198",2025,26
"Gr. Larceny","900",2025,26
"G.L.A.","317",2025,26
"Petit Larceny","1931",2025,26
"Misd. Assault","1032",2025,26
