"Offense","n","Year","Week"
"Murder","3",2025,19
"Rape","35",2025,19
"Robbery","314",2025,19
"Fel. Assault","568",2025,19
"Burglary","219",2025,19
"Gr. Larceny","909",2025,19
"G.L.A.","299",2025,19
"Petit Larceny","2033",2025,19
"Misd. Assault","954",2025,19
