"Offense","n","Year","Week"
"Murder","5",2025,37
"Rape","34",2025,37
"Robbery","312",2025,37
"Fel. Assault","566",2025,37
"Burglary","214",2025,37
"Gr. Larceny","1004",2025,37
"G.L.A.","264",2025,37
"Petit Larceny","2068",2025,37
"Misd. Assault","991",2025,37
