"Offense","n","Year","Week"
"Murder","6",2026,10
"Rape","41",2026,10
"Robbery","223",2026,10
"Fel. Assault","522",2026,10
"Burglary","207",2026,10
"Gr. Larceny","845",2026,10
"G.L.A.","251",2026,10
"Petit Larceny","1916",2026,10
"Misd. Assault","946",2026,10
