"Offense","n","Year","Week"
"Murder","5",2025,31
"Rape","34",2025,31
"Robbery","302",2025,31
"Fel. Assault","555",2025,31
"Burglary","216",2025,31
"Gr. Larceny","917",2025,31
"G.L.A.","324",2025,31
"Petit Larceny","2037",2025,31
"Misd. Assault","906",2025,31
