"Offense","n","Year","Week"
"Murder","5",2024,49
"Rape","37",2024,49
"Robbery","278",2024,49
"Fel. Assault","479",2024,49
"Burglary","195",2024,49
"Gr. Larceny","886",2024,49
"G.L.A.","197",2024,49
"Petit Larceny","2226",2024,49
"Misd. Assault","839",2024,49
