"Offense","n","Year","Week"
"Murder","6",2026,26
"Rape","39",2026,26
"Robbery","260",2026,26
"Fel. Assault","627",2026,26
"Burglary","201",2026,26
"Gr. Larceny","824",2026,26
"G.L.A.","208",2026,26
"Petit Larceny","1998",2026,26
"Misd. Assault","1052",2026,26
