"Offense","n","Year","Week"
"Murder",2,2025,43
"Rape",32,2025,43
"Robbery",332,2025,43
"Fel. Assault",575,2025,43
"Burglary",249,2025,43
"Gr. Larceny",972,2025,43
"G.L.A.",254,2025,43
"Petit Larceny",1925,2025,43
"Misd. Assault",1260,2025,43
