"Offense","n","Year","Week"
"Murder","3",2024,52
"Rape","22",2024,52
"Robbery","244",2024,52
"Fel. Assault","470",2024,52
"Burglary","207",2024,52
"Gr. Larceny","635",2024,52
"G.L.A.","210",2024,52
"Petit Larceny","1746",2024,52
"Misd. Assault","778",2024,52
