"Offense","n","Year","Week"
"Murder","7",2026,32
"Rape","40",2026,32
"Robbery","254",2026,32
"Fel. Assault","626",2026,32
"Burglary","235",2026,32
"Gr. Larceny","923",2026,32
"G.L.A.","245",2026,32
"Petit Larceny","2268",2026,32
"Misd. Assault","992",2026,32
