"Offense","n","Year","Week"
"Murder","9",2024,43
"Rape","38",2024,43
"Robbery","355",2024,43
"Fel. Assault","545",2024,43
"Burglary","211",2024,43
"Gr. Larceny","977",2024,43
"G.L.A.","283",2024,43
"Petit Larceny","2157",2024,43
"Misd. Assault","1054",2024,43
