"Offense","n","Year","Week"
"Murder","5",2025,14
"Rape","36",2025,14
"Robbery","246",2025,14
"Fel. Assault","477",2025,14
"Burglary","206",2025,14
"Gr. Larceny","793",2025,14
"G.L.A.","293",2025,14
"Petit Larceny","2004",2025,14
"Misd. Assault","868",2025,14
