"Offense","n","Year","Week"
"Murder","4",2026,22
"Rape","39",2026,22
"Robbery","258",2026,22
"Fel. Assault","581",2026,22
"Burglary","166",2026,22
"Gr. Larceny","920",2026,22
"G.L.A.","277",2026,22
"Petit Larceny","1953",2026,22
"Misd. Assault","988",2026,22
