"Offense","n","Year","Week"
"Murder","5",2025,13
"Rape","40",2025,13
"Robbery","268",2025,13
"Fel. Assault","549",2025,13
"Burglary","227",2025,13
"Gr. Larceny","826",2025,13
"G.L.A.","223",2025,13
"Petit Larceny","2064",2025,13
"Misd. Assault","958",2025,13
