"Offense","n","Year","Week"
"Murder",7,2024,51
"Rape",28,2024,51
"Robbery",263,2024,51
"Fel. Assault",497,2024,51
"Burglary",305,2024,51
"Gr. Larceny",829,2024,51
"G.L.A.",180,2024,51
"Petit Larceny",2135,2024,51
"Misd. Assault",1038,2024,51
