"Offense","n","Year","Week"
"Murder","2",2026,30
"Rape","30",2026,30
"Robbery","272",2026,30
"Fel. Assault","527",2026,30
"Burglary","159",2026,30
"Gr. Larceny","910",2026,30
"G.L.A.","254",2026,30
"Petit Larceny","2133",2026,30
"Misd. Assault","934",2026,30
