"Offense","n","Year","Week"
"Murder","5",2025,22
"Rape","33",2025,22
"Robbery","327",2025,22
"Fel. Assault","624",2025,22
"Burglary","153",2025,22
"Gr. Larceny","907",2025,22
"G.L.A.","281",2025,22
"Petit Larceny","1916",2025,22
"Misd. Assault","997",2025,22
