"Offense","n","Year","Week"
"Murder","1",2025,45
"Rape","33",2025,45
"Robbery","281",2025,45
"Fel. Assault","496",2025,45
"Burglary","212",2025,45
"Gr. Larceny","900",2025,45
"G.L.A.","261",2025,45
"Petit Larceny","2022",2025,45
"Misd. Assault","794",2025,45
