"Offense","n","Year","Week"
"Murder","7",2026,13
"Rape","40",2026,13
"Robbery","222",2026,13
"Fel. Assault","561",2026,13
"Burglary","163",2026,13
"Gr. Larceny","835",2026,13
"G.L.A.","241",2026,13
"Petit Larceny","1792",2026,13
"Misd. Assault","947",2026,13
