"Offense","n","Year","Week"
"Murder","5",2025,12
"Rape","28",2025,12
"Robbery","249",2025,12
"Fel. Assault","522",2025,12
"Burglary","226",2025,12
"Gr. Larceny","818",2025,12
"G.L.A.","264",2025,12
"Petit Larceny","2153",2025,12
"Misd. Assault","895",2025,12
