"Offense","n","Year","Week"
"Murder","3",2026,24
"Rape","37",2026,24
"Robbery","269",2026,24
"Fel. Assault","609",2026,24
"Burglary","212",2026,24
"Gr. Larceny","819",2026,24
"G.L.A.","272",2026,24
"Petit Larceny","1983",2026,24
"Misd. Assault","1027",2026,24
