"Offense","n","Year","Week"
"Murder","2",2024,42
"Rape","33",2024,42
"Robbery","292",2024,42
"Fel. Assault","513",2024,42
"Burglary","218",2024,42
"Gr. Larceny","884",2024,42
"G.L.A.","284",2024,42
"Petit Larceny","2155",2024,42
"Misd. Assault","885",2024,42
