"Offense","n","Year","Week"
"Murder","8",2025,36
"Rape","39",2025,36
"Robbery","311",2025,36
"Fel. Assault","558",2025,36
"Burglary","246",2025,36
"Gr. Larceny","1043",2025,36
"G.L.A.","234",2025,36
"Petit Larceny","2130",2025,36
"Misd. Assault","888",2025,36
