"Offense","n","Year","Week"
"Murder","5",2025,34
"Rape","40",2025,34
"Robbery","283",2025,34
"Fel. Assault","489",2025,34
"Burglary","214",2025,34
"Gr. Larceny","1001",2025,34
"G.L.A.","294",2025,34
"Petit Larceny","2270",2025,34
"Misd. Assault","924",2025,34
