"Offense","n","Year","Week"
"Murder","3",2025,21
"Rape","44",2025,21
"Robbery","298",2025,21
"Fel. Assault","581",2025,21
"Burglary","238",2025,21
"Gr. Larceny","883",2025,21
"G.L.A.","253",2025,21
"Petit Larceny","2079",2025,21
"Misd. Assault","962",2025,21
