"Offense","n","Year","Week"
"Murder","8",2025,32
"Rape","36",2025,32
"Robbery","309",2025,32
"Fel. Assault","584",2025,32
"Burglary","223",2025,32
"Gr. Larceny","920",2025,32
"G.L.A.","317",2025,32
"Petit Larceny","2065",2025,32
"Misd. Assault","921",2025,32
