"Offense","n","Year","Week"
"Murder","4",2025,41
"Rape","33",2025,41
"Robbery","303",2025,41
"Fel. Assault","492",2025,41
"Burglary","230",2025,41
"Gr. Larceny","921",2025,41
"G.L.A.","245",2025,41
"Petit Larceny","1994",2025,41
"Misd. Assault","835",2025,41
