"Offense","n","Year","Week"
"Murder","7",2026,36
"Rape","46",2026,36
"Robbery","280",2026,36
"Fel. Assault","643",2026,36
"Burglary","207",2026,36
"Gr. Larceny","877",2026,36
"G.L.A.","276",2026,36
"Petit Larceny","1979",2026,36
"Misd. Assault","923",2026,36
