"Offense","n","Year","Week"
"Murder","3",2024,46
"Rape","36",2024,46
"Robbery","305",2024,46
"Fel. Assault","503",2024,46
"Burglary","228",2024,46
"Gr. Larceny","840",2024,46
"G.L.A.","298",2024,46
"Petit Larceny","2226",2024,46
"Misd. Assault","817",2024,46
