"Offense","n","Year","Week"
"Murder","5",2026,29
"Rape","37",2026,29
"Robbery","328",2026,29
"Fel. Assault","556",2026,29
"Burglary","208",2026,29
"Gr. Larceny","971",2026,29
"G.L.A.","221",2026,29
"Petit Larceny","2091",2026,29
"Misd. Assault","981",2026,29
