"Offense","n","Year","Week"
"Murder","2",2025,42
"Rape","43",2025,42
"Robbery","292",2025,42
"Fel. Assault","510",2025,42
"Burglary","254",2025,42
"Gr. Larceny","933",2025,42
"G.L.A.","232",2025,42
"Petit Larceny","2051",2025,42
"Misd. Assault","938",2025,42
