"Offense","n","Year","Week"
"Murder","10",2025,25
"Rape","36",2025,25
"Robbery","310",2025,25
"Fel. Assault","630",2025,25
"Burglary","228",2025,25
"Gr. Larceny","919",2025,25
"G.L.A.","323",2025,25
"Petit Larceny","2147",2025,25
"Misd. Assault","1104",2025,25
