"Offense","n","Year","Week"
"Murder","1",2025,50
"Rape","42",2025,50
"Robbery","238",2025,50
"Fel. Assault","532",2025,50
"Burglary","242",2025,50
"Gr. Larceny","887",2025,50
"G.L.A.","213",2025,50
"Petit Larceny","1981",2025,50
"Misd. Assault","812",2025,50
