"Offense","n","Year","Week"
"Murder","2",2025,48
"Rape","33",2025,48
"Robbery","242",2025,48
"Fel. Assault","490",2025,48
"Burglary","234",2025,48
"Gr. Larceny","920",2025,48
"G.L.A.","226",2025,48
"Petit Larceny","2089",2025,48
"Misd. Assault","805",2025,48
