"Year","Week","Offense","n"
2006,25,"G.L.A.",323
2006,25,"Gr. Larceny",875
2006,25,"Misd. Assault",1187
2006,25,"Murder",21
2006,25,"Petit Larceny",1746
2006,25,"Rape",28
2006,25,"Robbery",441
2006,26,"Burglary",453
2006,26,"Fel. Assault",380
2006,26,"G.L.A.",328
2006,26,"Gr. Larceny",944
2006,26,"Misd. Assault",1096
2006,26,"Murder",14
2006,26,"Petit Larceny",1660
2006,26,"Rape",37
2006,26,"Robbery",454
2006,27,"Burglary",433
2006,27,"Fel. Assault",410
2006,27,"G.L.A.",292
2006,27,"Gr. Larceny",839
2006,27,"Misd. Assault",1110
2006,27,"Murder",7
2006,27,"Petit Larceny",1557
2006,27,"Rape",29
2006,27,"Robbery",399
2006,28,"Burglary",444
2006,28,"Fel. Assault",353
2006,28,"G.L.A.",331
2006,28,"Gr. Larceny",892
2006,28,"Misd. Assault",1095
2006,28,"Murder",11
2006,28,"Petit Larceny",1604
2006,28,"Rape",26
2006,28,"Robbery",426
2006,29,"Burglary",468
2006,29,"Fel. Assault",413
2006,29,"G.L.A.",328
2006,29,"Gr. Larceny",898
2006,29,"Misd. Assault",1026
2006,29,"Murder",18
2006,29,"Petit Larceny",1637
2006,29,"Rape",23
2006,29,"Robbery",462
2006,30,"Burglary",488
2006,30,"Fel. Assault",347
2006,30,"G.L.A.",279
2006,30,"Gr. Larceny",946
2006,30,"Misd. Assault",1118
2006,30,"Murder",13
2006,30,"Petit Larceny",1643
2006,30,"Rape",27
2006,30,"Robbery",472
2006,31,"Burglary",422
2006,31,"Fel. Assault",385
2006,31,"G.L.A.",325
2006,31,"Gr. Larceny",1014
2006,31,"Misd. Assault",1100
2006,31,"Murder",6
2006,31,"Petit Larceny",1632
2006,31,"Rape",41
2006,31,"Robbery",453
2006,32,"Burglary",477
2006,32,"Fel. Assault",360
2006,32,"G.L.A.",320
2006,32,"Gr. Larceny",922
2006,32,"Misd. Assault",1057
2006,32,"Murder",12
2006,32,"Petit Larceny",1714
2006,32,"Rape",25
2006,32,"Robbery",448
2006,33,"Burglary",466
2006,33,"Fel. Assault",326
2006,33,"G.L.A.",355
2006,33,"Gr. Larceny",920
2006,33,"Misd. Assault",994
2006,33,"Murder",11
2006,33,"Petit Larceny",1630
2006,33,"Rape",18
2006,33,"Robbery",449
