"Year","Week","Offense","n","Date","Month","rollingavg","ytd","monthly_n"
2015,1,"Rape",71,2015-01-05,1,1369,71,137
2015,1,"Robbery",319,2015-01-05,1,16552,319,1340
2016,1,"Burglary",235,2016-01-04,1,15109,235,977
2016,1,"Fel. Assault",427,2016-01-04,1,20461,427,1475
2016,1,"G.L.A.",113,2016-01-04,1,7279,113,425
2016,1,"Gr. Larceny",858,2016-01-04,1,44169,858,3085
2016,1,"Misd. Assault",976,2016-01-04,1,52257,976,3568
2016,1,"Murder",4,2016-01-04,1,349,4,22
2016,1,"Petit Larceny",1402,2016-01-04,1,81602,1402,5675
2016,1,"Rape",65,2016-01-04,1,1456,65,110
2016,1,"Robbery",313,2016-01-04,1,16911,313,1193
2017,1,"Burglary",220,2017-01-02,1,12929,220,1212
2017,1,"Fel. Assault",423,2017-01-02,1,20779,423,1850
2017,1,"G.L.A.",91,2017-01-02,1,6276,91,479
2017,1,"Gr. Larceny",884,2017-01-02,1,44400,884,3953
2017,1,"Misd. Assault",971,2017-01-02,1,52075,971,4534
2017,1,"Murder",7,2017-01-02,1,337,7,25
2017,1,"Petit Larceny",1409,2017-01-02,1,80865,1409,7336
2017,1,"Rape",54,2017-01-02,1,1450,54,142
2017,1,"Robbery",301,2017-01-02,1,15409,301,1407
2018,1,"Burglary",198,2018-01-01,1,12091,198,1096
2018,1,"Fel. Assault",336,2018-01-01,1,20026,336,1789
2018,1,"G.L.A.",86,2018-01-01,1,5644,86,441
2018,1,"Gr. Larceny",675,2018-01-01,1,42904,675,3870
2018,1,"Misd. Assault",844,2018-01-01,1,51183,844,4595
2018,1,"Murder",3,2018-01-01,1,273,3,21
2018,1,"Petit Larceny",1218,2018-01-01,1,83208,1218,7462
2018,1,"Rape",39,2018-01-01,1,1471,39,129
2018,1,"Robbery",229,2018-01-01,1,13894,229,1281
2019,1,"Burglary",203,2019-01-07,1,11731,203,831
2019,1,"Fel. Assault",384,2019-01-07,1,20388,384,1341
2019,1,"G.L.A.",81,2019-01-07,1,5389,81,306
2019,1,"Gr. Larceny",797,2019-01-07,1,43572,797,2986
2019,1,"Misd. Assault",1004,2019-01-07,1,53113,1004,3595
2019,1,"Murder",5,2019-01-07,1,303,5,21
2019,1,"Petit Larceny",1638,2019-01-07,1,86464,1638,6077
2019,1,"Rape",47,2019-01-07,1,1597,47,131
2019,1,"Robbery",228,2019-01-07,1,12920,228,864
2020,1,"Burglary",252,2020-01-06,1,10899,252,1075
2020,1,"Fel. Assault",405,2020-01-06,1,20832,405,1492
2020,1,"G.L.A.",129,2020-01-06,1,5428,129,514
2020,1,"Gr. Larceny",798,2020-01-06,1,43003,798,3365
2020,1,"Misd. Assault",1019,2020-01-06,1,52517,1019,3660
2020,1,"Murder",3,2020-01-06,1,297,3,21
2020,1,"Petit Larceny",1621,2020-01-06,1,88746,1621,7069
2020,1,"Rape",50,2020-01-06,1,1599,50,117
2020,1,"Robbery",309,2020-01-06,1,13481,309,1180
2021,1,"Burglary",266,2021-01-04,1,15572,266,988
2021,1,"Fel. Assault",394,2021-01-04,1,20713,394,1419
2021,1,"G.L.A.",159,2021-01-04,1,9067,159,561
2021,1,"Gr. Larceny",612,2021-01-04,1,35316,612,2380
2021,1,"Misd. Assault",760,2021-01-04,1,42919,760,2809
2021,1,"Murder",4,2021-01-04,1,453,4,29
2021,1,"Petit Larceny",1461,2021-01-04,1,81813,1461,6078
2021,1,"Rape",41,2021-01-04,1,1264,41,90
2021,1,"Robbery",228,2021-01-04,1,13022,228,838
2022,1,"Burglary",249,2022-01-03,1,12818,249,1367
2022,1,"Fel. Assault",437,2022-01-03,1,23063,437,2062
2022,1,"G.L.A.",249,2022-01-03,1,10485,249,1304
2022,1,"Gr. Larceny",945,2022-01-03,1,42358,945,4345
2022,1,"Misd. Assault",887,2022-01-03,1,48344,887,4517
2022,1,"Murder",8,2022-01-03,1,479,8,34
2022,1,"Petit Larceny",1764,2022-01-03,1,87371,1764,9233
2022,1,"Rape",38,2022-01-03,1,1273,38,132
2022,1,"Robbery",290,2022-01-03,1,13873,290,1427
2023,1,"Burglary",321,2023-01-02,1,15841,321,1434
2023,1,"Fel. Assault",544,2023-01-02,1,26221,544,2343
2023,1,"G.L.A.",256,2023-01-02,1,13750,256,1359
2023,1,"Gr. Larceny",971,2023-01-02,1,50929,971,4521
2023,1,"Misd. Assault",1057,2023-01-02,1,54927,1057,5089
2023,1,"Murder",7,2023-01-02,1,428,7,36
2023,1,"Petit Larceny",1997,2023-01-02,1,115876,1997,10256
2023,1,"Rape",41,2023-01-02,1,1340,41,123
2023,1,"Robbery",335,2023-01-02,1,17426,335,1489
2024,1,"Burglary",228,2024-01-01,1,13483,228,1221
2024,1,"Fel. Assault",557,2024-01-01,1,27580,557,2439
2024,1,"G.L.A.",279,2024-01-01,1,15620,279,1264
2024,1,"Gr. Larceny",895,2024-01-01,1,47789,895,4563
2024,1,"Misd. Assault",1097,2024-01-01,1,57853,1097,5194
2024,1,"Murder",8,2024-01-01,1,370,8,26
2024,1,"Petit Larceny",1847,2024-01-01,1,107360,1847,9823
2024,1,"Rape",33,2024-01-01,1,1091,33,113
2024,1,"Robbery",342,2024-01-01,1,16819,342,1633
2025,1,"Burglary",221,2025-01-06,1,12451,221,721
2025,1,"Fel. Assault",394,2025-01-06,1,28409,394,1215
2025,1,"G.L.A.",213,2025-01-06,1,13986,213,616
2025,1,"Gr. Larceny",762,2025-01-06,1,45052,762,2232
2025,1,"Misd. Assault",751,2025-01-06,1,57584,751,2186
2025,1,"Murder",5,2025-01-06,1,310,5,12
2025,1,"Petit Larceny",1975,2025-01-06,1,106786,1975,6033
2025,1,"Rape",36,2025-01-06,1,1380,36,107
2025,1,"Robbery",218,2025-01-06,1,16166,218,696
2026,1,"Murder",3,2026-01-05,1,239,3,11
2026,1,"Rape",34,2026-01-05,1,1943,34,157
2026,1,"Robbery",247,2026-01-05,1,14251,247,884
2026,1,"Fel. Assault",444,2026-01-05,1,27399,444,1772
2026,1,"Burglary",215,2026-01-05,1,11340,215,736
2026,1,"Gr. Larceny",891,2026-01-05,1,46045,891,3126
2026,1,"G.L.A.",204,2026-01-05,1,13467,204,796
2026,1,"Petit Larceny",2011,2026-01-05,1,105751,2011,7435
2026,1,"Misd. Assault",740,2026-01-05,1,46315,740,2960
2006,2,"Burglary",491,2006-01-09,1,NA,917,2232
2006,2,"Fel. Assault",315,2006-01-09,1,NA,629,1446
2006,2,"G.L.A.",305,2006-01-09,1,NA,637,1548
2006,2,"Gr. Larceny",896,2006-01-09,1,NA,1844,4314
2006,2,"Misd. Assault",961,2006-01-09,1,NA,1899,4626
2006,2,"Murder",13,2006-01-09,1,NA,25,52
2006,2,"Petit Larceny",1505,2006-01-09,1,NA,2958,7434
2006,2,"Rape",33,2006-01-09,1,NA,116,225
2006,2,"Robbery",505,2006-01-09,1,NA,970,2265
2007,2,"Burglary",445,2007-01-08,1,22891,844,2041
2007,2,"Fel. Assault",270,2007-01-08,1,16935,600,1358
2007,2,"G.L.A.",242,2007-01-08,1,15733,531,1225
2007,2,"Gr. Larceny",828,2007-01-08,1,46024,1799,4145
2007,2,"Misd. Assault",882,2007-01-08,1,51445,1932,4555
2007,2,"Murder",6,2007-01-08,1,553,12,28
